,portfolio,count,frequency
0,found masks 1975–1978,37,0.20903954802259886
1,the ring of dawn suite(suite la bague d’aurore),26,0.14689265536723164
2,the bewitched tailor,25,0.14124293785310735
3,"tevia the milkman, volume i",19,0.10734463276836158
4,witness,13,0.07344632768361582
5,à l’infinitif (la boîte blanche)(in the infinitive [the white box]),12,0.06779661016949153
6,the bound columbus (der gefesselte columbus),12,0.06779661016949153
7,ode à ma mère,10,0.05649717514124294
8,jerusalem faces,9,0.05084745762711865
9,maria 1946,9,0.05084745762711865
10,mangue,5,0.02824858757062147
