neighborhood,count
Manchester,6
Banksville,4
Central Oakland,8
Greenfield,13
,378
Allegheny West,5
South Side Flats,26
Squirrel Hill North,7
Central Business District,16
Squirrel Hill South,12
Mount Washington,9
Carrick,14
South Side Slopes,15
Beltzhoover,12
Brookline,17
South Oakland,7
Lincoln Place,5
Troy Hill,10
Shadyside,9
Elliott,15
Larimer,5
Crafton Heights,8
Central Lawrenceville,4
East Liberty,6
Lower Lawrenceville,8
Sheraden,5
Windgap,2
Fineview,7
Spring Hill-City View,7
Allegheny Center,15
Perry North,4
Polish Hill,3
East Allegheny,2
Morningside,2
Homewood North,4
Allentown,4
Perry South,3
Upper Lawrenceville,2
Bloomfield,16
Strip District,10
Hazelwood,9
Homewood South,3
Garfield,2
Highland Park,5
Beechview,11
Brighton Heights,10
Point Breeze,2
Upper Hill,3
Fairywood,1
Crawford-Roberts,3
Lincoln-Lemington-Belmar,7
Terrace Village,4
East Hills,1
Middle Hill,4
California-Kirkbride,1
Central Northside,8
Overbrook,3
Swisshelm Park,1
Glen Hazel,1
Hays,2
Stanton Heights,3
West End,4
Spring Garden,1
Esplen,1
Marshall-Shadeland,2
Bedford Dwellings,3
North Oakland,2
Mount Oliver Borough,1
Mt. Oliver,1
Arlington,1
Knoxville,1
Westwood,1
Duquesne Heights,3
